DATE,HPCP,STATION,STATION_NAME
20130125 11:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130125 12:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130125 13:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130125 14:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130125 15:00,0.09,COOP:317069,RALEIGH AIRPORT NC US
20130125 16:00,0.12,COOP:317069,RALEIGH AIRPORT NC US
20130125 17:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130125 18:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130125 19:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130125 20:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130125 21:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130128 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130128 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130128 06:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130128 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130128 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130130 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130130 13:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130130 23:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130131 00:00,0.32,COOP:317069,RALEIGH AIRPORT NC US
20130131 01:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130131 02:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130131 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130131 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130201 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130202 23:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130203 00:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130203 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130207 18:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130207 19:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130207 20:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130207 21:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130207 22:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130207 23:00,0.09,COOP:317069,RALEIGH AIRPORT NC US
20130208 00:00,0.13,COOP:317069,RALEIGH AIRPORT NC US
20130208 01:00,0.19,COOP:317069,RALEIGH AIRPORT NC US
20130208 02:00,0.2,COOP:317069,RALEIGH AIRPORT NC US
20130208 03:00,0.12,COOP:317069,RALEIGH AIRPORT NC US
20130208 04:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130208 05:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130208 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130208 07:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130210 23:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130211 00:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130211 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130211 07:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130211 08:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130211 09:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130211 11:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130211 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130211 13:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130211 14:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130211 15:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130211 16:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 03:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 04:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130213 05:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130213 06:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130213 07:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130213 08:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130213 09:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 10:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 11:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 12:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130213 14:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 15:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130213 16:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 17:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130213 18:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130213 19:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130216 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130216 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130216 09:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130216 10:00,0.07,COOP:317069,RALEIGH AIRPORT NC US
20130216 11:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130216 12:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130216 13:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130216 14:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130216 15:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130216 16:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130216 17:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130216 18:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130216 19:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130216 20:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130219 10:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130219 11:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130219 12:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130219 13:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130219 14:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130219 15:00,0.07,COOP:317069,RALEIGH AIRPORT NC US
20130219 16:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130222 03:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130222 04:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130222 05:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130222 06:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130222 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130222 14:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130222 15:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130222 16:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130222 17:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130222 18:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130222 19:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130222 20:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130222 21:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130222 22:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130222 23:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130223 00:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130223 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130223 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130223 03:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
