date,price
3/28/18 16:15,0
3/28/18 16:20,0
3/28/18 16:25,0
3/28/18 16:35,0
3/28/18 16:40,0
3/28/18 16:45,0
3/28/18 16:50,-6.99091
3/28/18 16:55,-8.41043
3/28/18 17:00,-17.45701
3/28/18 17:05,-17.45701
3/28/18 17:10,-17.39664
3/28/18 17:15,-17.26448
3/28/18 17:20,-10.56981
3/28/18 17:25,0
3/28/18 17:30,0.0101
3/28/18 17:35,0.01046
3/28/18 17:40,12.44155
3/28/18 17:45,18.38807
3/28/18 17:50,18.74715
3/28/18 17:55,18.81198
3/28/18 18:00,1.5107
3/28/18 18:05,0.10506
3/28/18 18:10,0.10506
3/28/18 18:15,3.95793
3/28/18 18:20,12.0226
3/28/18 18:25,15.26562
3/28/18 18:30,18.64244
3/28/18 18:35,18.66352
3/28/18 18:40,23.74987
3/28/18 18:45,24.8658
3/28/18 18:50,40.12439
3/28/18 18:55,96.07071
3/28/18 19:00,23.65224
3/28/18 19:05,24.40874
3/28/18 19:10,23.24199
3/28/18 19:15,24.94391
3/28/18 19:20,24.459816
3/28/18 19:25,24.68872
3/28/18 19:30,24.723033
3/28/18 19:35,25.4421
3/28/18 19:40,25.040996
3/28/18 19:45,24.47468
3/28/18 19:50,23.81526
3/28/18 19:55,23.81526
3/28/18 20:00,25.240613
3/28/18 20:05,21.875813
3/28/18 20:10,22.243723
3/28/18 20:15,22.78499
3/28/18 20:20,22.746143
3/28/18 20:25,22.714776
3/28/18 20:30,22.234276
3/28/18 20:35,21.92004
3/28/18 20:40,19.765783
3/28/18 20:45,19.362176
3/28/18 20:50,19.45243
3/28/18 20:55,18.5419
3/28/18 21:00,19.77745
3/28/18 21:05,20.46442
3/28/18 21:10,21.15606
3/28/18 21:15,21.07746
3/28/18 21:20,21.37186
3/28/18 21:25,21.13062
3/28/18 21:30,18.9143
3/28/18 21:35,17.14673
3/28/18 21:40,17.14673
3/28/18 21:45,15.28538
3/28/18 21:50,15.1653
3/28/18 21:55,15.1653
3/28/18 22:00,35.94533
3/28/18 22:05,29.88023
3/28/18 22:10,18.80512
3/28/18 22:15,22.51738
3/28/18 22:20,20.45113
3/28/18 22:25,18.6044
3/28/18 22:30,20.27054
3/28/18 22:35,18.67992
3/28/18 22:40,18.63013
3/28/18 22:45,17.29057
3/28/18 22:50,17.75528
3/28/18 22:55,16.68406
3/28/18 23:00,18.76546
3/28/18 23:05,25.6009
3/28/18 23:10,25.01271
3/28/18 23:15,24.69123
3/28/18 23:20,24.69123
3/28/18 23:25,22.73829
3/28/18 23:30,17.02767
3/28/18 23:35,17.44891
3/28/18 23:40,17.32874
3/28/18 23:45,16.69277
3/28/18 23:50,16.54698
3/28/18 23:55,16.69277
